hight ,z,rho,T
1000,0.1,2.81E-18,272.1
990,10,2.95E-18,214.9
980,20,3.09E-18,206.7
970,30,3.24E-18,216.5
960,40,3.40E-18,250.6
950,50,3.57E-18,258.5
940,60,3.74E-18,238.1
930,70,3.93E-18,221.7
920,80,4.13E-18,211.7
910,90,4.33E-18,194.3
900,100,4.55E-18,185.2
890,110,4.79E-18,226.8
880,120,5.03E-18,364.2
870,130,5.29E-18,479.7
860,140,5.57E-18,549.9
850,150,5.86E-18,597.4
840,160,6.17E-18,629.7
830,170,6.50E-18,651.6
820,180,6.84E-18,666.5
810,190,7.21E-18,676.7
800,200,7.60E-18,683.6
790,210,8.02E-18,688.3
780,220,8.47E-18,691.5
770,230,8.94E-18,693.7
760,240,9.45E-18,695.2
750,250,1.00E-17,696.3
740,260,1.06E-17,697
730,270,1.12E-17,697.5
720,280,1.19E-17,697.8
710,290,1.26E-17,698
700,300,1.34E-17,698.2
690,310,1.43E-17,698.3
680,320,1.53E-17,698.4
670,330,1.63E-17,698.4
660,340,1.75E-17,698.5
650,350,1.88E-17,698.5
640,360,2.03E-17,698.5
630,370,2.20E-17,698.5
620,380,2.39E-17,698.5
610,390,2.60E-17,698.5
600,400,2.86E-17,698.5
590,410,3.15E-17,698.5
580,420,3.49E-17,698.6
570,430,3.90E-17,698.6
560,440,4.38E-17,698.6
550,450,4.96E-17,698.6
540,460,5.66E-17,698.6
530,470,6.51E-17,698.6
520,480,7.54E-17,698.6
510,490,8.82E-17,698.6
500,500,1.04E-16,698.6
490,510,1.23E-16,698.6
480,520,1.47E-16,698.6
470,530,1.78E-16,698.6
460,540,2.15E-16,698.6
450,550,2.63E-16,698.6
440,560,3.23E-16,698.6
430,570,3.98E-16,698.6
420,580,4.94E-16,698.6
410,590,6.16E-16,698.6
400,600,7.70E-16,698.6
390,610,9.68E-16,698.6
380,620,1.22E-15,698.6
370,630,1.55E-15,698.6
360,640,1.97E-15,698.6
350,650,2.51E-15,698.6
340,660,3.21E-15,698.6
330,670,4.12E-15,698.6
320,680,5.32E-15,698.6
310,690,6.89E-15,698.6
300,700,8.97E-15,698.6
290,710,1.17E-14,698.6
280,720,1.54E-14,698.6
270,730,2.04E-14,698.6
260,740,2.73E-14,698.6
250,750,3.67E-14,698.6
240,760,4.98E-14,698.6
230,770,6.82E-14,698.6
220,780,9.46E-14,698.6
210,790,1.33E-13,698.6
200,800,1.89E-13,698.6
190,810,2.75E-13,698.6
180,820,4.07E-13,698.6
170,830,6.20E-13,698.6
160,840,9.79E-13,698.6
150,850,1.63E-12,698.6
140,860,2.92E-12,698.6
130,870,5.95E-12,698.6
120,880,1.61E-11,698.6
110,890,7.95E-11,698.6
100,900,4.97E-10,698.6
90,910,2.75E-09,698.6
80,920,1.30E-08,698.6
70,930,5.78E-08,698.6
60,940,2.33E-07,698.6
50,950,8.28E-07,698.6
40,960,3.15E-06,698.6
30,970,1.55E-05,698.6
20,980,8.27E-05,698.6
10,990,3.98E-04,698.6
0,1000,1.29E-03,698.6
